,text,Tipo
24,"¡Qué emoción! ¡Ya es mañana! 
Mañana terminan de vacunar a todos los adultos mayores.

#SátiraSurrealista de @vampipe
#Latinus #InformaciónParaTi https://t.co/h5BltAsxEZ",Negativo
25,"¡Que no, que no y que no!

Así hablaron hoy los lacayos de Morena de la Comisión de Salud. 

Rechazaron que @SSalud_mx y @COFEPRIS informen al Senado sobre la adquisición de vacunas  COVID-19 y los avances del Programa Nacional de Vacunación.",Negativo
28,"¡Ya están en camino millón y medio más de vacunas AstraZeneca que aterrizarán antes de medianoche en el AICM! 👏🏽👏🏽👏🏽
En la Aduana estamos listos para darles despacho aduanero porque mañana se van a Huixquilucan #VacunaciónEdoMéx, y a Benito Juárez, Álvaro Obregón y Cuauhtémoc. https://t.co/wFdzSJEkLZ",Positivo
29,"¡YA HAY VACUNA CONTRA EL #MORENAVIRUS Y SE APLICA ESTE 6 DE JUNIO!

¡TODO MÉXICO A VACUNARSE!

¡#NIUNVOTOAMORENA!",Negativo
33,¿ es cierto que ayer se vacunó a 220 personas?,Negativo
34,¿ Ustedes ya tienen anticuerpos como los tiene AMLO y no necesitan la vacuna como dice el ?,Negativo
35,"¿ Ya leyeron lo que dijo el estúpido de López Gatell ?
"" Que los funcionarios Públicos se vacunan con los EXCESOS de las VACUNAS "" !!!!
Pobre IDIOTA🤬😡😡🤬",Negativo
36,"¿¡Cuántos muertos más quieren @MorenaSenadores⁉️ 

Ayer en Senado pedimos otra vez que se dictamine mi exhorto para aplicar vacuna COVID con urgencia al personal de salud y sólo quedaron de ""analizarlo"".

¿!QUÉ VAN A ANALIZAR⁉️

Su desprecio al personal de salud es crininal‼️",Negativo
37,¿Como que India nos mandó vacunas “como gesto de solidaridad”? ¿Pues qué somos? Eso es como cuando tu tía te manda la ropa usada de sus hijos.,Negativo
39,"¿Cuál es una tomada de pelo más grande: La rifa del avión , el registro de vacunación o las encuestas de MORENA ?",Negativo
40,"¿Cuando sale la vacuna contra el cinismo? 

Urge que @HLGatell y compañía se vacunen!✍️🧐",Negativo
41,"¿Cuántas vacunas se podrían comprar con esos 40 mil millones de pesos que adeuda al @SATMX este ""distinguido"" personaje @SimonLevyMx ?
Saludos https://t.co/Hp6TruylMI",Negativo
43,"¿Cuánto nos cuesta el show vacuna-electorero de AMLO? 

¿Cuántas personas más podrían ser vacunadas si la prioridad fuera salvar vidas y no votos, y se echara mano de toda la infraestructura y personal capacitado en el proceso de vacunación? https://t.co/aA9pGadEyM",Negativo
44,¿Divulgar información sobre las negociaciones para comprar la vacuna rusa compromete la seguridad nacional? https://t.co/1rLJ1D8QlO,Negativo
47,"¿No que no? sale a la luz otro video donde personal enviado por Víctor Hugo Romo ""recuerda"" que habrá vacunas, pide INE, pero eso sí, entregan una despensa. Lo bueno es que son diferentes. https://t.co/fDcfnLjoDg",Negativo
48,¿No tendrá ganas Felipe Calderón de irse a poner la vacuna contra el Covid a EEUU? 🧐,Positivo
49,"¿Por qué @lopezobrador_, quien está metido de lleno en las elecciones y usa a servidores de la nación para comprar votos pide a gobernadores “no meterse” y “no comprar votos”?

Porque así es de cínico, deshonesto y taimado.

Cree que señalando a otros por lo que él hace se vacuna",Negativo
50,¿Por qué le pide AMLO vacunas a EU sí según su estrategia es la más exitosa del mundo? 🤔,Negativo
51,"¿Por qué los @MorenaSenadores defienden la vacuna rusa que NO cumple los requisitos sanitarios de la Unión Europea, la FDA, la OMS, Alemania y los demás países desarrollados, y que no tiene permiso de venta de emergencia?

Por ineptos, perversos y arrastrados. https://t.co/OnfInKfAPG",Negativo
52,"¿Por qué no llegan cerca de 10 mil vacunas para adultos mayores a Valle de Bravo? 

No queremos pensar que las bloquean con fines políticos gente que coordina a los “ servidores de la nación” 

¿Por qué ya llegó a los municipios vecinos gobernados por MORENA y PT?",Negativo
53,"¿Por qué se enoja el presidente? Porque le decimos lo que quiere esconder: con las vacunas, su prioridad no es la salud de la gente. Su prioridad es que Morena gane las elecciones. Así lo denunciamos hoy en #Loret en @Latinus_us: https://t.co/leVHUKNmdu https://t.co/B38l3vL2iT",Negativo
54,"¿porque una persona mayor de 60 años tiene q registrarse para recibir la vacuna anti Covid? Que no ya está registrado en el INE, no bastaría con presentarse con la credencial o acta de Nacimiento? Mexico no cambiará mientras el gobierno siga pidiendo un papel o dato que ya tiene",Negativo
55,"¿Qué hace una delegada del Bienestar con escolta? ¿Por qué amagar así, cortando cartucho, a alcaldes que piden vacunas?  

¿Y no que eran distintos? https://t.co/dO2jtFzzKD",Negativo
58,"¿Qué significa llevar a Bartlett a la conferencia de hoy? Tomando en cuenta 200 mil muertes, retraso en proceso de vacunación, desempleo e inseguridad. Significa: desdén, solo le importan votos y sus caprichos como la reforma eléctrica.",Negativo
64,"¿Sí teníamos garantizada la cantidad de vacunas que dijeron que teníamos garantizada? ¿Para cuándo?

Perdón, pero sus supuestas cláusulas de confidencialidad con las farmacéuticas no están por encima del derecho a saber de los ciudadanos.

Necesitamos más y mejor información.",Negativo
65,"¿Una meta muy optimista? 

El secretario de Hacienda, Arturo Herrera, aseguró que en algunos meses México estará en niveles económicos similares a antes de la pandemia

https://t.co/u8kAqliMsP",Negativo
67,"¿Vacunas prestadas a cambio de control migratorio en la frontera sur del país? 

Todo indica que ese es el acuerdo. Si no, no se entiende la simultaneidad.",Negativo
69,"¿Ya ven, tontitos?

El gobierno no se opone a que los empresarios comercialicen la vacuna contra Covid-19

Pueden hacerlo.

Nada más que la producción en este momento es poca y muy demandada por los gobiernos.

Esperen a que haya más y entonces sí.

#DíaDeLosInocentes",Positivo
71,"...ya se vacunó al 100% de médicos de primer nivel en la CDMX.
Bonos covid que quedaron en 1 ocasión para algunas personas.

Parece que no sólo le están restando importancia al gremio  médico, sino que parece que nosotros fuéramos el enemigo.

¿Qué más falta?
¿Hasta cuándo?",Negativo
72,"""¡Que tristeza que mi país no me brindó esa seguridad!"", expresó Juan José Origel https://t.co/K42a6AF5Tv",Negativo
76,"""Curiosamente"" solo en Jalisco es un caos el plan nacional de vacunación. Total desorganización. 

¿Tendrá algo qué ver que aquí interviene @EnriqueAlfaroR?",Positivo
78,"""la vacuna no se puede utilizar con propósitos electorales. Sería ruin, una mezquindad. No queremos polemizar sobre este tema""

   -Andres Manuel López Obrador

#Vacunas #COVID19 #AMLO https://t.co/nynvgotnw3",Positivo
83,"“¡EUREKA! Ante el titánico reto de inmunizar a 126 millones de mexicanas y mexicanos, el gobierno de Andrés Manuel López Obrador ya hizo lo más importante: le puso nombre a la vacuna. Ahora nomás falta que haya tal vacuna.” Templo Mayor, Reforma.",Negativo
87,"“El gobierno mexicano erró el diagnóstico, se apegó a una estrategia infructuosa, comunicó mal (engañó), no previó la adquisición de las vacunas y todavía tiene la desvergüenza de afirmar que ‘vamos bien’.” Luis Rubio.",Negativo
88,"“Es lo mismo Morena y el gobierno”. A confesión de parte, relevo de pruebas. Haciendo proselitismo con las vacunas.   https://t.co/nxi5eUnQsJ",Negativo
90,"“Esas vacunas que suspendieron en Europa y no han autorizado en Estados Unidos, mándenoslas. Para hacer campaña cualquiera es buena” #AsiHabloPejetustra",Negativo
92,“Estamos atravesando por la peor fase de la pandemia y es posible que no alcancemos coberturas razonables de vacunación hasta ppios. de ‘22. Ello nos obliga a tomar acciones enérgicas. Se trata de la última oportunidad para evitar un desastre aún mayor.” https://t.co/PsfjrnVZO5,Negativo
96,"“La vacuna contra el Covid será recordada en México, como el emblema que simboliza el estilo de ejercicio del poder de este gobierno.”
@MaxKaiser75 
en @LaListanews 
https://t.co/PovYA4VwHS",Negativo
99,"“Mañana tampoco” para los médicos privados dice el siervo.
Lo dicho, un empoderado mequetrefe convertido en comisario del régimen, decidiendo quien no se vacuna… porque son “privados”. https://t.co/xdbLCxVWW8",Negativo
100,"#BajoReserva El presidente le dio una lección a su pupilo: no neguemos que compren vacunas, mejor quedamos bien ante el público diciendo que todos pueden comprarlas aunque, en el fondo, no podrán hacerlo a tiempo | Suscríbete a #ELUNIVERSALPlus https://t.co/XUOSDDCJLL",Negativo
102,"🤨 Juan José Origel se vacuna en EU contra el Covid-19 y le llueven críticas: ""mi país no me brindó esa seguridad"", dice https://t.co/K42a6AWGL3",Negativo
103,“Nuestro gobierno insiste en que hay que centralizarlo todo. Lo estamos pagando con muertos y con una estrategia de vacunación que nació fracasada. Ahora va sobre el sistema eléctrico” ⁦@carloselizondom⁩ en ⁦@Reforma⁩ https://t.co/mI1DtQ6RqN,Negativo
106,"“Vacunación masiva y gratuita en México”, frases -pero sobre todo acciones- que alegran mi corazón. 💓✨",Positivo
110,"@ClaudioXGG La semana pasada estaban emocionados porque un empresario fraudulento, decía que tenia 2 millones de vacunas. 

Cuando lo desmintieron ya no les gustó. 

Si quieren vacuna se van a tener que formar.",Positivo
111,"@DanielSibaja_ A ver, imbécil, si los que podemos pagar la vacuna, lo hacemos, entonces queda más dinero para ayudar a los más ""Vulnerados y necesitados"" (Cómo Pío y Jelipa, por ejemplo).
Aplica en Ecatepé, hasta Viri entiende!!
Obviamente tenías que ser de la Colaborada, digo, Deliberada.",Negativo
114,"@ferbelaunzaran @lopezobrador_ Oye Fer, ¿y a quién se las compramos? Ninguna vacuna está aprobada por Cofepris para su venta en México. Es pura demagogia, como siempre con este señor. Los fabricantes solo las están vendiendo a los gobiernos centrales, entonces ¿cómo le hacemos?",Negativo
115,@Ferrlo @sabinaberman @ricardomraphael Pfizer no es la única vacuna en el mercado y el gobierno dijo desde hace meses que tenía contratos ya hechos con otras farmacéuticas. ¿Donde están? ¿Cuando se compraron? ¿Cuantas vacunas se compraron? Cada noche juegan con las cifras y cambian la narrativa.,Negativo
117,"@HLGatell Traducción: Hay que asegurar Campeche para M0RENA, ahorita no estamos para atender Estados donde urgen vacunas, lo importante es tener el voto seguro, la salud, como sea",Negativo
118,"@lopezobrador_ ¿Es verdad o solo es drama para victimizarse? 🤨 Yo dudo mucho

¿No que ya estaba vacunado, o no jaló la vacuna de CanSino?

Si es cierto...ayer anduvo de gira...¿a cuántos habrá contagiado este infeliz?",Negativo
119,"@lopezobrador_ El presidente López se solidariza con el populista Fernández pero su pésimo manejo de la pandemia, ha provocado la muerte de 300mil mexicanos. Se refiere a él con aprecio porque es su amigo pero a nuestros médicos les niega la vacuna. Así la incongruencia de AMLO.",Negativo
120,Luz verde a vacunación privada… después de las elecciones. Hoy el proceso tiene objetivos electorales. #MiColumna en ⁦@Univ_Opinion⁩  de ⁦@El_Universal_Mx⁩  https://t.co/3cAcRHIyW7,Negativo
121,"@lopezobrador_ Llevas semanas diciendo que ya compraron millones y millones de vacunas
¿Dónde están?",Negativo
122,"@lopezobrador_ Presidente muchas gracias por ese gran trabajo que realiza usted y el Equipo Salud con el Plan de Vacunación . Nos llena de mucha alegría y esperanza ver cómo  van siendo vacunados nuestros familiares, y ese gran trato que recibe de todos los que participan en las brigadas👏🏻👏🏻",Positivo
123,"@m_ebrard Ay @m_ebrard, con el gobierno de morena ya todo lo que digan está en duda. 
Hasta no ver que se vacunó correctamente a la mayoría de la población podré creerles.",Negativo
126,¿Y si hacen la vacuna con candidatos de morena? Esos weyes son inmunes a todo.,Negativo
127,@mario_delgado La vacuna es responsabilidad del gobierno en turno. Si no pueden con el paquete renuncien!✍️🧐,Negativo
130,"@Navegaciones #SuavePatria
A la colonia d mi mamá la vacuna llegó desde hace 10 días. A mis suegros les toca hasta la próxima semana, viven en Bélgica, capital de la Unión Europea, primerísimo mundo y referente de desarrollo de la derecha rancia de mi país
Ay mi México, si muero lejos de tí...",Positivo
131,"@proceso LOS BOROLAS QUEDAN COMO P....jos 

NO HAY VACUNAS A LA VENTA 

Rusia desmiente que un empresario de México comprase 2 millones de la vacuna Sputnik V #SputnikV NO SE VENDE A PARTICULARES 

https://t.co/DDX6LNbRCZ

CAHAMAQUEADO EL #GobiernoDeNuevoLeon #PRIAN",Positivo
132,@ReginadelC Pero estuvo de bravucón diciendo que ya había comprado TODAS las vacunas...,Negativo
133,"@RicardoMonrealA ¿Hablas de los recursos qué se robaron al extinguir los fideicomisos y que los usarían para comprar vacunas?

CINISMO CUATRERO",Negativo
140,"#AMLO confirmó hoy en su mañanera que se vacuna la semana que viene y que además creo anticuerpos

Larga vida presidente querido 🙏

#EsUnHonorEstarConObrador https://t.co/G57mDGY1fQ",Positivo
141,#AMLOCorrupto EL INUTIL DE PALACIO ANDA CON LA COLA ENTRE LAS PATAS QUERIENDO JUSTIFICAR LOS MILES DE MILLONES QUE REPORTA POR LA COMPRA DE VACUNAS SIENDO QUE SON REGALADAS!! POR PFIZER POR SER 3a ETAPA EXPERIMENTAL! 😳😳😳Y LA CORRUPCION APAAAAA!#OposicionUnida👊🏿👊🏿👊🏿#RedMasUno https://t.co/UJ7ZI781OL,Negativo
149,"#BuenosDías
Reportando otra violación a la ley por parte de morena, lucrando con la vacuna contra #COVID19 en Zinacantepec, Estado  de México.
A ver @INEMexico que procede, ya es mucho lo que esta haciendo Morena. https://t.co/yzPyFjsRsQ",Negativo
150,#BuenosDias haciendo fila para la segunda dosis de la vacuna. #HospitalGeneral uno de tantos nuevos hospitales que se han construido en la 4T #AMLO https://t.co/jdy4gnPal0,Positivo
151,"#ComentarioFinal Se los dijimos hace 4 semanas, para vacunar a todos los adultos mayores en marzo, nos queda la promesa de la vacuna de #AstraZeneca, la de #Pfizer y, si llegan algún día, las vacunas #Sputnik y #CanSino. Si no, no salen las cuentas. https://t.co/HdQKGHiNMY",Negativo
154,#ConferenciaPresidente. El canciller @m_ebrard muestra las 3 millones de dosis de la vacuna china Cansino que arribaron a México. Se suman a las 2 millones que ya se tenían antes. https://t.co/4z87eJIr3C,Positivo
157,#COVID19mx Ya casi 17 mil profes vacunados en #Campeche pero se les acabó lo verde y pasan a semáforo amarillo 🙄 Era más urgente usar esas vacunas en personal de salud. #AhíQuedaEso https://t.co/75Zpw3b17E,Negativo
164,"#EnVivo 🔴📹 Continuamos con el Programa Nacional de Vacunación en la Ciudad de México, a partir del miércoles en @IztacalcoAl, @Alc_Tlahuac y @XochimilcoAl. Aquí toda la información https://t.co/3I9PxucScx

https://t.co/phyJKcrNSu",Positivo
166,#EnVivo: banderazo de salida del primer lote de vacunas de Cansino envasadas en México https://t.co/hF1Uvtu7EB,Positivo
167,"#EnVivo: Ceremonia de donación de 95,000 dosis de la Vacuna Antipoliomielítica que el @GobiernoMX otorga al Gobierno del Ecuador para inmunizar a la población infantil. https://t.co/LrXxU6LlJN",Positivo
172,"#FuerzaAMLO 
De Tepetitán, Tabasco para el mundo. AMLO no habla inglés, no estudió en universidades caras del extranjero, pero en menos de una semana logró estrechar relaciones con Putin y Biden. Hoy logró 24 millones de vacunas a pesar de tener Covid. 
https://t.co/5N8ERXDGQr",Positivo
174,"#GiroPositivo. El doble positivo de Gatell, los recortes en la SEP, las vacunas calientes y más noticias con un ángulo amable en el noticiero. @DrNetas
#Latinus #InformaciónParaTi https://t.co/UCp9D9Ttc2",Negativo
177,#IMPORTANTE La Alcaldía pone a disposición de los adultos mayores autobuses gratuitos para trasladarse a las sedes de vacunación. MÁS INFORMACIÓN 🔽 https://t.co/tRL1apn2Bh,Positivo
178,#JusticeTheAlbum y la vacuna son lo mejor que le ha pasado a este 2021. 🥰,Positivo
182,"#LoMásVisto Seguramente las y los maestros de México se la están mentando a la senadora más traidora del @AccionNacional @LillyTellez, pues los puso a competir con los doctores en cuanto a la obtención de la vacuna…
https://t.co/Ulnewy9QSM",Positivo
183,"#LoMásVisto Seguramente las y los maestros de México se la están mentando a la senadora más traidora del @AccionNacional @LillyTellez, pues los puso a competir con los doctores en cuanto a la obtención de la vacuna…
https://t.co/Ulnewy9QSM",Positivo
185,"#Loret Capítulo 32. Candidatos impresentables 2021: circo y maroma en Morena y la oposición. Además, megaliquidaciones en el instituto para “devolver lo robado”. Y pandemia en México: ni vacunas ni plan. @CarlosLoret 
#LatinusOriginals #InformaciónParaTi
https://t.co/w1pGgFVvGE",Negativo
186,"#Loret Capítulo 39. El presidente quiere todo el poder... de todos los poderes. Además, Sonora: en sus propias palabras, Alfonso Durazo (Morena-PVEM-PT) y Ernesto Gándara (PAN-PRI-PRD). Y Vacunas, Misión Incumplida. 
#Latinus #InformaciónParaTi 
https://t.co/QV98S9a9sZ",Negativo
192,"#ÑoQueÑo 💃🕺🇲🇽
Fue una negociación exitosa, Estados Unidos cederá vacunas de AstraZeneca. Vamos avanzando y pronto dejaremos el covid atrás. 
#BuenasNoticias #TeamGatoPolítico 
https://t.co/qi85foWxjD",Positivo
193,"#OposicionMiserable
Cuando un pseudo empresario supuestamente iba a comprar 2 millones de dosis de la vacuna rusa: 
""Excelente! Pero es que la Cofepris bloquea la adquisición""
Cuando el gobierno la adquiere: 
 ""No sirve, ni siquiera la ha aprobado la Cofepris"" https://t.co/M7lmVbaSyt",Positivo
196,"#Reportaje | La decisión de destinar vacunas para inmunizar a docentes campechanos cuando no está asegurada la misma medida para el personal sanitario es una muestra del caos que reina en cuanto al tratamiento de la pandemia. | Por @juanomarfierro
https://t.co/4u67XHXXjX",Negativo
197,"#Reportaje | La decisión de destinar vacunas para inmunizar a docentes campechanos cuando no está asegurada la misma medida para el personal sanitario es una muestra del caos que reina en cuanto al tratamiento de la pandemia. | Por @juanomarfierro
https://t.co/Q1kOyDrZyi",Negativo
200,"#ULTIMAHORA 
Y para los que tiene dudas sobre la vacuna de Sinovac ya mexico ya dio un informe de ella y es muy buena así que a leer 
https://t.co/2fbdv2xrYg

(Pagina 9 habla de la eficacia) https://t.co/DuhK4lrMHn",Positivo
218,"#VacunacionConVacunas. Este jueves llegaron 2 millones de dosis de #CanSinoBIO a México que se envasarán en Querétaro. El domingo 14 de febrero llegan 1 millón de dosis de #AstraZeneca. El 15 de febrero, retorna #PfizerBiontech su envío a México. Hay vacunas. #NoAlaInfodemia. https://t.co/SjigHoUAy8",Positivo
219,"#VacunasCOVID19. Procedentes de la India, esta madrugada llegaron 870 mil dosis de la vacuna AstraZeneca a México. La ayuda entre países derrotará al Covid19, no el egoísmo acaparador. https://t.co/MLbYWhftmV",Positivo
221,"#VacunenAMédicosYa

Los @MorenaSenadores acaban de votar:
NO, NO y NO 
a mi exhorto para vacunar al personal de salud antes que a maestros.

Son ellos 👇🏻 los traidores https://t.co/naqAKby9Yw",Negativo
222,"#VamosMéxico 🇲🇽💃🕺
Vamos saliendo adelante. Hacienda prevé que con 90 millones de vacunas aplicadas la economía volvería a los niveles antes del Covid y ¿Qué creen? Esto podría ocurrir entre junio y julio. ¿Qué tal, eh? Tengamos fe. 
#TeamGatoPolítico 
https://t.co/qPhuHisQoo",Positivo
223,"#VENTANA 

¿Migración y vacunas tienen relación? 

Pareciera que sí, aunque Estados Unidos y México lo nieguen de dientes para afuera. https://t.co/6PZLQLI0Iq",Negativo
227,"#Vientos 🇲🇽🕺💃
Siguen las buenas noticias. La 4T firmará contrato con Rusia para la compra de 12 millones de dosis de Sputnik V. Tenemos el mejor gobierno en el peor momento, sin vacunas no nos quedamos ¡Vamos con fe! 
#SaldremosAdelante 
https://t.co/cvT3Qmjbdt",Positivo
229,"•Alarma sísmica anunciada como 
  simulacro.
•Importante subregistro de muertes  
  en pandemia.
•La tasa más alta de letalidad por 
  covid-19, en el mundo.
•Compra de vacunas ficticia.
•Vacunas donadas, detenidas.
•Falta de medicamentos para niños y 
 mujeres con cáncer. https://t.co/1da6hx5OWZ",Negativo
230,"•La “enfermera” es AMLO.
•La vacuna, la esperanza de México.
•El señor, los 30 millones que votaron   por él...
https://t.co/6g3sfAKHxO",Negativo
231,"▶️ Ayer por la noche se recibieron 1.5 millones de dosis de la vacuna de @AstraZeneca contra el #COVID19 provenientes de 🇺🇸.

Esta acción es resultado de la solidaridad y cooperación entre México y EE. UU. https://t.co/rtGtmhByBa",Positivo
232,"▶️ La subsecretaria @marthadelgado aseguró que «esta es la primera vez que 🇲🇽  recibe tal cantidad de vacunas en una sola entrega, los mexicanos debemos sentirnos muy orgullosos de ello». https://t.co/qdXhEjsLD5",Positivo
233,"▶️ Mensaje del secretario de Relaciones Exteriores @m_ebrard sobre el acuerdo de vacunas con Estados Unidos.

https://t.co/EhgMCzmfCE",Positivo
236,"⚠️#ULTIMAHORA Se reportan 11,148 nuevos contagios confirmados por Covid-19 y la muerte de 1,328 personas. Como pueden ustedes ver, no tenemos curva aplanada, ni pandemia domada, ni estrategia, ni vacunas, ni gobierno. ¡Estamos jodidos!

#QuedateEnCasa 
#UsaCubrebocas https://t.co/AMndix20d0",Negativo
247,"💉🦠💉🦠💉🦠💉🦠💉🦠💉
🔴🗣️📢Acá #LadyAntiVacunas la Senadora Lilly Téllez dando su discurso sobre la vacuna Sputnik V.☝️🤨 https://t.co/XbW0cWXlBz",Positivo
250,"📸Hoy salieron desde la planta de Drugmex, en Querétaro, más de 940 mil dosis de la vacuna de CanSinoBio, envasada en México. 

Somos el primer país en completar el proceso de envasado de vacunas contra #COVID19 en toda América Latina. https://t.co/mxfiCVH1sM",Positivo
258,"🧵 #TaliNews Lunes 15/03/21

1/10 Buenas noches desde el país donde va pésimo en plan de vacunación vs Covid; país donde el presidente amedrenta a quienes “atentan” contra sus intereses, mientras México se agrava y de desmorona. Pero nosotros vamos a desMORENAr México #Vota6Junio",Negativo
264,"🟢#EnDirecto |  El secretario de Salud, Jorge Alcocer, acudió al estadio olímpico de Ciudad Universitaria para aplicarse la primera dosis de la vacuna #AstraZeneca. Dijo sentirse bien y muy contento de recibir su protección antocovid como todos los mexicanos. #OnceNoticias https://t.co/ZU7eF9mXzU",Positivo
265,"1,803 fallecimientos en las últimas 24 horas. 
Cifra “oficial” de muertes hasta hoy: 146,174. 
No existe aún una maroma, ni vacuna o porra de aduladores, que los pueda salvar del juicio que les espera. https://t.co/fxhmhjApPI",Negativo
267,"1) El SAT dice que decomisó un lote de vacunas rusas que iban a ser enviadas a Honduras;
2) El fabricante ruso afirma que esas vacunas son falsas.

Una de dos:
1) Hay robo en los almacenes oficiales, o
2) Hay producción de vacunas piratas en el país

No sé que sea peor.",Negativo
268,"1/19
LAS VACUNAS DE MARCELO (Lo que no estamos viendo)
Hace unos días amanecimos con la sorpresa, de que elementos del ejército y de aduanas habían decomisado un cargamento de más o menos 5000 vacunas Sputnik en el aeropuerto de Campeche....
https://t.co/qf0quwTe37",Negativo
270,"10 países tienen 2/3 partes de las vacunas aplicadas, 100 países ninguna. Por eso ""Nunca habíamos visto una división tan profunda que afectase a tantos en tan poco tiempo. Urge revertir la injusticia que se está cometiendo, de ello depende la seguridad de toda la humanidad""",Positivo
271,"12. ""Muérete porque no hay dinero para tu tratamiento de cáncer, de leucemia, o para vacunas contra la polio o el sarampión, o porque no nos interesa gastar dinero en pruebas anti-covid para detener las cadenas de contagio. Muérete, aunque seas médico y te la estés rifando"".",Negativo
272,"12/19
Para embasar una vacuna se necesitan varias cosas:
Maquinaria, etiquetas y VIALES.
Se acuerdan que les dije en este hilo que en México no hay VIALES para embasar las vacunas que llegan de China y de Argentina?  (LEAN ESTE HILO) https://t.co/FNeTZloKD9",Negativo
274,"1er acto: gobierno presume compra/arribo de vacunas. 2o acto: vacunación lenta/desordenada sin 2a dosis asegurada. 3er acto: AMLO anuncia compra de vacuna rusa no autorizada/verificada y López-Gatell rechaza comprar vacuna/Moderna. ¿Cómo se llamó la obra? “Querida, jodí al país” https://t.co/5nX6SQfHWW",Negativo
276,"3 meses esperando la vacuna para mis padres y contando, llevo más de 8 meses sin poderlos abrazar, cada día qué pasa estoy más y más convencido de pelear porque MORENA pierda la cámara de diputados.",Negativo
278,"4.58 millones de vacunas en un solo día en los EEUU. 
Más que la sumatoria de todo lo que ha vacunado México en 78 días. https://t.co/UnCc4KRUGl",Negativo
279,"500 millones de  vacunas en el mundo.
México, 4 millones.......
Y nos siguen dando nuestro ""atolito"" cada mañana.",Negativo
280,"7. Más de 500 mil mexicanos han muerto en un año porque el gobierno de López Obrador no quiso hacer nada por ayudarlos, por contener la pandemia, por conseguir y aplicar vacunas a tiempo. El dinero no podía ser para eso. No en el México de López. El dinero era para otra cosa.",Negativo
284,"A la prensa corporativa no le interesa informar sino el morbo. 

Son los peores días de la pandemia, con una estrategia de vacunación en marcha y cambios importantes sucediendo día con día. 

Hoy, un reportero. 

Gracias @jalomiaz por estar al frente. https://t.co/AD7Ma1wp9C",Positivo
286,"A mi no me tienes que decir, bombón.

Más bien ve al centro de vacunación donde está esto puesto desde la mañana. https://t.co/IwhDx14jqg",Negativo
297,"Acabamos de recibir 11,700 dosis de vacuna que se están trasladando a los ultracongeladores del laboratorio estatal de vacunología. Por ello confirmo que mañana jueves 18 se vacunará a adultos mayores de 60 años de Centro y cuyos apellidos paternos inicien con las letras L y M, y",Positivo
299,"Acabó la vacunación en el Centro de Exposiciones y Congresos de la UNAM, con la participación de voluntarios de Medicina, Enfermería y Odontología.

A ellos no se les vacunó.

Lo de @Claudiashein es esperable, sólo ve por su carrera política; pero lo de la UNAM es decepcionante. https://t.co/QEtm9ik38k",Negativo
302,"Acompañé al Presidente Alberto Fernández en la visita a Laboratorios Liomont en los que se lleva a cabo el llenado y envasado de la vacuna AstraZeneca. La sustancia activa es elaborada en Argentina por mAbxience. Van muy avanzados, trabajo muy profesional felicitaciones!! https://t.co/8he10oRHin",Positivo
